1/6/2022, 32.0, 27.0, 29.5
2/6/2022, 33.0, 27.0, 30.0
3/6/2022, 31.0, 25.0, 28.0
4/6/2022, 32.0, 25.0, 28.5
5/6/2022, 32.0, 25.0, 28.5
6/6/2022, 31.0, 26.0, 28.5
7/6/2022, 30.0, 26.0, 28.0
8/6/2022, 33.0, 26.0, 29.5
9/6/2022, 31.0, 25.0, 28.0
10/6/2022, 33.0, 25.0, 29.0
11/6/2022, 32.0, 23.0, 27.5
12/6/2022, 30.0, 26.0, 28.0
13/6/2022, 33.0, 24.0, 28.5
14/6/2022, 32.0, 26.0, 29.0
15/6/2022, 32.0, 24.0, 28.0
16/6/2022, 30.0, 23.0, 26.5
17/6/2022, 31.0, 25.0, 28.0
18/6/2022, 31.0, 26.0, 28.5
19/6/2022, 31.0, 25.0, 28.0
20/6/2022, 28.0, 25.0, 26.5
21/6/2022, 29.0, 26.0, 27.5
22/6/2022, 30.0, 26.0, 28.0
23/6/2022, 30.0, 24.0, 27.0
24/6/2022, 31.0, 25.0, 28.0
25/6/2022, 29.0, 24.0, 26.5
26/6/2022, 32.0, 26.0, 29.0
27/6/2022, 33.0, 26.0, 29.5
28/6/2022, 32.0, 26.0, 29.0
29/6/2022, 32.0, 26.0, 29.0
30/6/2022, 30.0, 24.0, 27.0
1/7/2022, 32.0, 27.0, 29.5
2/7/2022, 32.0, 26.0, 29.0
3/7/2022, 32.0, 26.0, 29.0
4/7/2022, 33.0, 26.0, 29.5
5/7/2022, 31.0, 26.0, 28.5
6/7/2022, 31.0, 26.0, 28.5
7/7/2022, 33.0, 27.0, 30.0
8/7/2022, 32.0, 25.0, 28.5
9/7/2022, 32.0, 27.0, 29.5
10/7/2022, 30.0, 25.0, 27.5
11/7/2022, 32.0, 25.0, 28.5
12/7/2022, 32.0, 26.0, 29.0
13/7/2022, 31.0, 27.0, 29.0
14/7/2022, 32.0, 26.0, 29.0
15/7/2022, 32.0, 27.0, 29.5
16/7/2022, 32.0, 27.0, 29.5
17/7/2022, 33.0, 28.0, 30.5
18/7/2022, 33.0, 28.0, 30.5
19/7/2022, 33.0, 28.0, 30.5
20/7/2022, 30.0, 23.0, 26.5
21/7/2022, 32.0, 26.0, 29.0
22/7/2022, 31.0, 25.0, 28.0
23/7/2022, 33.0, 25.0, 29.0
24/7/2022, 32.0, 24.0, 28.0
25/7/2022, 31.0, 25.0, 28.0
26/7/2022, 30.0, 25.0, 27.5
27/7/2022, 32.0, 26.0, 29.0
28/7/2022, 33.0, 28.0, 30.5
29/7/2022, 32.0, 25.0, 28.5
30/7/2022, 32.0, 25.0, 28.5
31/7/2022, 32.0, 27.0, 29.5
